State,StateID,County,index,intercept,SP,unemployment,mortgage_rates,ind_prod,inflation_expect
Tennessee,47,Pickett,2754,5.46E-17,-0.038625758,0.028841598,0.315343819,0.096875608,-0.539272594
Nebraska,31,Morrill,2755,5.90E-17,-0.230614479,0.66050213,0.708565889,0.828497364,0.04735907
Georgia,13,Schley,2756,-2.36E-16,0.091291484,-0.776259793,0.185918802,-0.449077113,-0.125792534
Missouri,29,Putnam,2757,-1.39E-17,0.246968273,-0.039994762,0.927479977,-0.359451287,-0.156263917
Texas,48,Mills,2758,-3.47E-17,0.280855467,0.115000864,0.087784519,0.009561772,-0.55227131
Kentucky,21,Hickman,2759,1.47E-16,0.073863951,-0.417332918,-0.161627276,-0.209561204,-0.582110193
New York,36,Hamilton,2760,5.62E-16,0.175446168,-0.679631097,0.077607132,-0.563566133,-0.501787177
Colorado,8,Washington,2761,-1.73E-18,-0.121409229,-0.931942199,0.223313908,-1.264508257,0.144622136
Wyoming,56,Hot Springs,2762,4.16E-17,-0.02429118,0.308885276,-0.010414206,0.640586599,-0.032672113
Oklahoma,40,Dewey,2763,2.78E-17,-0.330206685,-0.011731587,-0.381605864,-0.329534759,0.230612126
Texas,48,Martin,2764,9.19E-16,-0.036589357,-0.826256076,0.233992487,-0.508150945,-0.089410394
Nevada,32,Mineral,2765,-2.32E-16,0.290129023,-0.780897357,0.467300183,-0.832708504,0.131111444
Virginia,51,Bath,2766,1.07E-16,-0.022149257,0.367364016,0.233330206,0.197459701,0.472631588
New Mexico,35,Guadalupe,2767,4.86E-17,0.388529368,-1.43804526,0.397470798,-1.938432373,0.028611417
Texas,48,Kimble,2768,-2.84E-16,0.027800556,-0.644844753,0.683768613,-0.472738981,0.15787198
Minnesota,27,Kittson,2769,1.73E-17,0.353146597,-1.141730507,-0.33077053,-1.205475351,-0.253276602
New Mexico,35,Union,2770,-1.39E-17,-0.111125839,0.193397428,0.970793441,-0.240040757,0.078452462
Oklahoma,40,Grant,2771,2.52E-16,-0.62053095,0.617280618,-0.000686241,0.997787146,0.120495163
Nebraska,31,Nuckolls,2772,-2.32E-16,0.058348844,0.598841175,0.174155762,1.025530626,0.24210141
